E,v,Rp0.2,Rm,At,A32,Z,HV,,Orientation,Treatment,Supplier,Time,Temperature
161,0.24,1069,1174,15.71,15.28,56,382,,Horizontal,AsBuilt,SEAM,0,20
140,0.29,991,1144,6.83,6.35,56,327,,Inclined,AsBuilt,SEAM,0,20
122,0.35,892,1057,13.78,13.74,62,375,,Vertical,AsBuilt,SEAM,0,20
150,0.34,1028,1172,13.37,12.89,43,369,,Horizontal,AsBuilt,3D Pro,0,20
136,0.33,773,1053,16.17,15.9,60,329,,Inclined,AsBuilt,3D Pro,0,20
120,0.38,853,1035,15.54,15.05,60,328,,Vertical,AsBuilt,3D Pro,0,20
182,0.31,1908,1971,6.5,5.56,22,594,,Horizontal,6h @ 460C,SEAM,6,460
183,0.3,1850,1939,6.18,5.24,18,593,,Inclined,6h @ 460C,SEAM,6,460
170,0.33,1803,1907,6.97,6.01,19,591,,Vertical,6h @ 460C,SEAM,6,460
178,0.33,1951,2006,7.43,6.51,24,602,,Horizontal,8h @ 460C,SEAM,8,460
178,0.29,1907,1987,7.35,6.43,20,590,,Inclined,8h @ 460C,SEAM,8,460
171,0.3,1849,1939,6.93,5.99,23,603,,Vertical,8h @ 460C,SEAM,8,460
177,0.34,1979,2032,6.63,5.67,22,610,,Horizontal,12h @ 460C,SEAM,12,460
180,0.31,1941,2022,6.03,6.03,21,607,,Inclined,12h @ 460C,SEAM,12,460
171,0.32,1888,1965,5.56,4.56,19,610,,Vertical,12h @ 460C,SEAM,12,460
170,0.29,2006,2050,2.34,1.15,4,610,,Horizontal,4h @ 490C,3D Pro,4,490
175,0.27,1977,2047,4.35,3.26,8,620,,Inclined,4h @ 490C,3D Pro,4,490
171,0.31,1929,1996,6.12,5.1,15,616,,Vertical,4h @ 490C,3D Pro,4,490
182,0.33,1961,2004,8.59,7.77,33,603,,Horizontal,4h @ 490C,SEAM,4,490
185,0.31,1895,1963,7.97,7.13,28,595,,Inclined,4h @ 490C,SEAM,4,490
180,0.32,1875,1928,5.85,4.95,24,599,,Vertical,4h @ 490C,SEAM,4,490
174,0.3,2004,2070,2.91,1.75,5,626,,Horizontal,6h @ 490C,3D Pro,6,490
