Time,Temperature,delta_R_sigma,technique,kernel,smooth,variogram_model,nugget
2.0,460.0,3.89306952432978e-05,kriging,,,gaussian,0.0
2.101010101010101,460.0,3.660808898181392e-05,kriging,,,gaussian,0.0
2.202020202020202,460.0,3.358371663170538e-05,kriging,,,gaussian,0.0
2.303030303030303,460.0,3.300756558893902e-05,kriging,,,gaussian,0.0
2.404040404040404,460.0,3.180843267488721e-05,kriging,,,gaussian,0.0
2.505050505050505,460.0,3.0951206743353e-05,kriging,,,gaussian,0.0
2.606060606060606,460.0,2.962727150214004e-05,kriging,,,gaussian,0.0
2.707070707070707,460.0,2.7148085183047205e-05,kriging,,,gaussian,0.0
2.808080808080808,460.0,2.670275741142486e-05,kriging,,,gaussian,0.0
2.909090909090909,460.0,2.730978962026502e-05,kriging,,,gaussian,0.0
3.0101010101010104,460.0,2.648939823427584e-05,kriging,,,gaussian,0.0
3.111111111111111,460.0,2.290375419953478e-05,kriging,,,gaussian,0.0
3.212121212121212,460.0,2.2966675390879183e-05,kriging,,,gaussian,0.0
3.313131313131313,460.0,2.1696657201103766e-05,kriging,,,gaussian,0.0
3.4141414141414144,460.0,2.2060513068004225e-05,kriging,,,gaussian,0.0
3.515151515151515,460.0,2.1734703791081632e-05,kriging,,,gaussian,0.0
3.616161616161616,460.0,2.055729638353233e-05,kriging,,,gaussian,0.0
3.717171717171717,460.0,1.9152599033343046e-05,kriging,,,gaussian,0.0
3.8181818181818183,460.0,1.9464303795477197e-05,kriging,,,gaussian,0.0
3.919191919191919,460.0,1.907037480095536e-05,kriging,,,gaussian,0.0
4.020202020202021,460.0,1.844689504273245e-05,kriging,,,gaussian,0.0
4.121212121212121,460.0,1.6489221316691872e-05,kriging,,,gaussian,0.0
4.222222222222222,460.0,1.7130224326348926e-05,kriging,,,gaussian,0.0
4.3232323232323235,460.0,1.5914563075999557e-05,kriging,,,gaussian,0.0
4.424242424242424,460.0,1.6706966726031677e-05,kriging,,,gaussian,0.0
4.525252525252525,460.0,1.906639029007401e-05,kriging,,,gaussian,0.0
4.626262626262626,460.0,1.5723941489954193e-05,kriging,,,gaussian,0.0
4.727272727272727,460.0,1.3987418229552807e-05,kriging,,,gaussian,0.0
4.828282828282829,460.0,1.6902781728158207e-05,kriging,,,gaussian,0.0
