technique,property,grid_size,n_samples,rmse,mae,r2
linear,Rp0.2,100,56,37.36642878306676,24.821428571428573,0.9751102083428653
linear,Rm,100,56,28.01307092871367,18.696428571428573,0.9832472951977549
linear,At,100,56,1.6760806748397967,0.9853571428571427,0.8358671065308586
linear,HV,100,56,4.446105840267092,2.8035714285714284,0.9938144478023688
linear,E,100,56,4.048809348790968,2.642857142857143,0.5694436301811573
linear,v,100,56,0.045355736761107275,0.027500000000000007,-1.8141685569708597
linear,Z,100,56,6.084230201336661,3.767857142857143,0.7438159697931999
linear,A32,100,56,1.5862072914435148,0.9392857142857142,0.8574475947268938
linear,R_bar,100,56,0.01575481785722341,0.0066071428571428574,0.8253729669097026
linear,delta_R,100,56,0.02314550249431379,0.007500000000000001,0.9068607068607069
